,name,salary,min_salary,max_salary,currency_salary,link,source
166,Python разработчик,З/П не указана,,,,https://hh.ru/vacancy/76780632?from=vacancy_search_list&query=python,hh.ru
167,Python разработчик (проект Лаборатория измерительных систем),З/П не указана,,,,https://hh.ru/vacancy/77193986?from=vacancy_search_list&query=python,hh.ru
168,Разработчик базы данных,З/П не указана,,,,https://hh.ru/vacancy/75522993?from=vacancy_search_list&query=python,hh.ru
169,Программист-разработчик компьютерного зрения (python),З/П не указана,,,,https://hh.ru/vacancy/77002334?from=vacancy_search_list&query=python,hh.ru
170,Python разработчик Junior,40 000 – 60 000 руб.,40000.0,60000.0,руб.,https://hh.ru/vacancy/76757250?from=vacancy_search_list&query=python,hh.ru
171,Software Engineer in Test (Python),З/П не указана,,,,https://hh.ru/vacancy/74803836?from=vacancy_search_list&query=python,hh.ru
172,Программист-разработчик,от 85 000 руб.,85000.0,,руб.,https://hh.ru/vacancy/77192679?from=vacancy_search_list&query=python,hh.ru
173,Python Team Lead,З/П не указана,,,,https://hh.ru/vacancy/76707495?from=vacancy_search_list&query=python,hh.ru
174,Middle OpenStack Python,З/П не указана,,,,https://hh.ru/vacancy/75726638?from=vacancy_search_list&query=python,hh.ru
175,Программист,З/П не указана,,,,https://hh.ru/vacancy/76800949?from=vacancy_search_list&query=python,hh.ru
176,Data Engineer,З/П не указана,,,,https://hh.ru/vacancy/76068416?from=vacancy_search_list&query=python,hh.ru
177,Программист/разработчик Linux,от 200 000 руб.,200000.0,,руб.,https://hh.ru/vacancy/76676691?from=vacancy_search_list&query=python,hh.ru
178,Стажер Sberseasons осень 2022 Data Science Новосибирск,З/П не указана,,,,https://hh.ru/vacancy/77053286?from=vacancy_search_list&query=python,hh.ru
179,Junior Data Analyst,З/П не указана,,,,https://hh.ru/vacancy/76902009?from=vacancy_search_list&query=python,hh.ru
180,Программист Linux,100 000 – 500 000 руб.,100000.0,500000.0,руб.,https://hh.ru/vacancy/76592132?from=vacancy_search_list&query=python,hh.ru
181,Web-программист (удаленно),от 40 000 руб.,40000.0,,руб.,https://hh.ru/vacancy/77388672?from=vacancy_search_list&query=python,hh.ru
182,Sr Python разработчик (удаленно),до 300 000 руб.,,300000.0,руб.,https://hh.ru/vacancy/76958513?from=vacancy_search_list&query=python,hh.ru
183,Middle Python developer,З/П не указана,,,,https://hh.ru/vacancy/77301956?from=vacancy_search_list&query=python,hh.ru
184,Аналитик DWH (junior),З/П не указана,,,,https://hh.ru/vacancy/76202621?from=vacancy_search_list&query=python,hh.ru
185,Тестировщик на Python,З/П не указана,,,,https://hh.ru/vacancy/76324043?from=vacancy_search_list&query=python,hh.ru
186,Mid/Mid+ Data Scientist,З/П не указана,,,,https://hh.ru/vacancy/76396688?from=vacancy_search_list&query=python,hh.ru
187,Full Stack Python/JS разработчик,от 120 000 руб.,120000.0,,руб.,https://hh.ru/vacancy/76920852?from=vacancy_search_list&query=python,hh.ru
188,Junior Data Analyst,З/П не указана,,,,https://hh.ru/vacancy/76902009?from=vacancy_search_list&query=python,hh.ru
189,Программист С++ Senior,400 000 – 700 000 руб.,400000.0,700000.0,руб.,https://hh.ru/vacancy/71147160?from=vacancy_search_list&query=python,hh.ru
190,"Преподаватель курсов «Алгоритмики» в школах Ростова-на-Дону (Python, Scratch)",30 000 – 70 000 руб.,30000.0,70000.0,руб.,https://hh.ru/vacancy/76785247?from=vacancy_search_list&query=python,hh.ru
191,Team Lead (Python),З/П не указана,,,,https://hh.ru/vacancy/76810596?from=vacancy_search_list&query=python,hh.ru
192,Аналитик данных,З/П не указана,,,,https://hh.ru/vacancy/77219984?from=vacancy_search_list&query=python,hh.ru
193,Tech Lead Python (Django),З/П не указана,,,,https://hh.ru/vacancy/75762841?from=vacancy_search_list&query=python,hh.ru
194,Ночной системный инженер мониторинга,1 400 – 2 300 EUR,1400.0,2300.0,EUR,https://hh.ru/vacancy/76860808?from=vacancy_search_list&query=python,hh.ru
195,Python backend-разработчик в команду Data Science,З/П не указана,,,,https://hh.ru/vacancy/77050356?from=vacancy_search_list&query=python,hh.ru
196,Разработчик базы данных,З/П не указана,,,,https://hh.ru/vacancy/75522993?from=vacancy_search_list&query=python,hh.ru
